image_group_id,image_id,final_bbox
SSWI000000019807656,SSWI000000019807656A.jpg,"[[0.6033, 0.6429, 0.5502, 0.5988], [0.3389, 0.6733, 0.5137, 0.617], [0.7052, 0.3693, 0.5775, 0.6109], [0.4377, 0.4377, 0.5957, 0.5836]]"
SSWI000000019807656,SSWI000000019807656B.jpg,"[[0.8343, 0.6231, 0.3252, 0.6018], [0.2204, 0.2888, 0.1489, 0.1277], [0.8647, 0.3997, 0.2644, 0.5866]]"
SSWI000000019807656,SSWI000000019807656C.jpg,"[[0.2188, 0.2903, 0.1459, 0.1185], [0.8647, 0.3708, 0.2644, 0.5228]]"
SSWI000000020162423,SSWI000000020162423B.jpg,"[[0.9051, 0.7641, 0.1866, 0.4715]]"
SSWI000000020162423,SSWI000000020162423A.jpg,"[[0.8962, 0.7596, 0.2074, 0.4778]]"
SSWI000000020162423,SSWI000000020162423C.jpg,"[[0.9042, 0.7621, 0.1865, 0.4757]]"
SSWI000000019435986,SSWI000000019435986B.jpg,"[[0.9331, 0.4954, 0.1337, 0.152], [0.6231, 0.4605, 0.2371, 0.2705]]"
SSWI000000019435986,SSWI000000019435986A.jpg,"[[0.9316, 0.497, 0.1368, 0.1672], [0.6064, 0.4574, 0.2523, 0.2705]]"
SSWI000000019435986,SSWI000000019435986C.jpg,"[[0.6216, 0.459, 0.234, 0.2736]]"
SSWI000000017387103,SSWI000000017387103C.jpg,[]
SSWI000000017387103,SSWI000000017387103A.jpg,"[[0.1064, 0.4377, 0.2128, 0.3161]]"
SSWI000000017387103,SSWI000000017387103B.jpg,[]
SSWI000000015074967,SSWI000000015074967B.jpg,"[[0.8875, 0.5046, 0.1824, 0.2675]]"
SSWI000000015074967,SSWI000000015074967A.jpg,"[[0.7614, 0.5122, 0.1125, 0.1672]]"
SSWI000000015074967,SSWI000000015074967C.jpg,"[[0.921, 0.5243, 0.1581, 0.2097]]"
SSWI000000015060924,SSWI000000015060924A.jpg,"[[0.8156, 0.4003, 0.3686, 0.3998]]"
SSWI000000015060924,SSWI000000015060924C.jpg,"[[0.7324, 0.3946, 0.381, 0.4572]]"
SSWI000000015060924,SSWI000000015060924B.jpg,"[[0.7416, 0.3957, 0.373, 0.4525]]"
SSWI000000020365538,SSWI000000020365538C.jpg,[]
SSWI000000020365538,SSWI000000020365538A.jpg,[]
SSWI000000020365538,SSWI000000020365538B.jpg,[]
SSWI000000019124833,SSWI000000019124833C.jpg,"[[0.4863, 0.4195, 0.1581, 0.2432]]"
SSWI000000019124833,SSWI000000019124833B.jpg,"[[0.038, 0.4863, 0.076, 0.2979], [0.4711, 0.4225, 0.1702, 0.2675]]"
SSWI000000019124833,SSWI000000019124833A.jpg,"[[0.0729, 0.5578, 0.1459, 0.4407], [0.462, 0.4331, 0.1398, 0.2705]]"
SSWI000000020300368,SSWI000000020300368C.jpg,"[[0.4838, 0.4976, 0.956, 0.9927]]"
SSWI000000020300368,SSWI000000020300368A.jpg,"[[0.5119, 0.5, 0.9529, 1.0]]"
SSWI000000020300368,SSWI000000020300368B.jpg,"[[0.5114, 0.5, 0.9474, 1.0]]"
SSWI000000019326038,SSWI000000019326038A.jpg,"[[0.5223, 0.8814, 0.288, 0.2232], [0.0688, 0.8882, 0.1323, 0.2188]]"
SSWI000000019326038,SSWI000000019326038C.jpg,"[[0.523, 0.8799, 0.2917, 0.2251], [0.0601, 0.8899, 0.1147, 0.2073]]"
SSWI000000019326038,SSWI000000019326038B.jpg,"[[0.5203, 0.8792, 0.2878, 0.2244], [0.0565, 0.8924, 0.1109, 0.215]]"
SSWI000000020364339,SSWI000000020364339A.jpg,"[[0.6266, 0.6967, 0.1405, 0.08534]]"
SSWI000000020364339,SSWI000000020364339B.jpg,"[[0.7831, 0.6872, 0.1051, 0.08244], [0.7866, 0.6888, 0.1305, 0.1158]]"
SSWI000000020364339,SSWI000000020364339C.jpg,"[[0.9203, 0.6708, 0.08638, 0.07756], [0.9019, 0.6728, 0.05719, 0.07105]]"
SSWI000000020364240,SSWI000000020364240A.jpg,"[[0.5638, 0.7751, 0.1246, 0.1702], [0.266, 0.7827, 0.3921, 0.2644]]"
SSWI000000020364240,SSWI000000020364240C.jpg,"[[0.5578, 0.7751, 0.2158, 0.2614]]"
SSWI000000020364240,SSWI000000020364240B.jpg,"[[0.5167, 0.7964, 0.2492, 0.2796]]"
SSWI000000018237310,SSWI000000018237310A.jpg,"[[0.1363, 0.6758, 0.2715, 0.641]]"
SSWI000000018237310,SSWI000000018237310B.jpg,"[[0.2414, 0.6206, 0.4829, 0.7586], [0.1305, 0.8137, 0.2518, 0.3724]]"
SSWI000000018237310,SSWI000000018237310C.jpg,"[[0.2389, 0.6177, 0.4778, 0.7644]]"
SSWI000000020364815,SSWI000000020364815B.jpg,"[[0.5421, 0.7581, 0.1482, 0.2361]]"
SSWI000000020364815,SSWI000000020364815C.jpg,"[[0.5433, 0.7553, 0.1447, 0.2332]]"
SSWI000000020364815,SSWI000000020364815A.jpg,"[[0.5518, 0.7629, 0.1312, 0.2349]]"
SSWI000000009432752,SSWI000000009432752B.jpg,"[[0.2658, 0.3806, 0.4621, 0.4916]]"
SSWI000000009432752,SSWI000000009432752A.jpg,"[[0.5361, 0.4107, 0.5711, 0.5138]]"
SSWI000000009432752,SSWI000000009432752C.jpg,"[[0.2158, 0.3625, 0.4316, 0.4708]]"
SSWI000000011771145,SSWI000000011771145A.jpg,"[[0.1231, 0.3465, 0.0821, 0.2067], [0.3495, 0.3678, 0.1459, 0.304], [0.0623, 0.3571, 0.0638, 0.1854], [0.6231, 0.3936, 0.2675, 0.3739]]"
SSWI000000011771145,SSWI000000011771145C.jpg,"[[0.041, 0.3556, 0.0517, 0.1702], [0.0684, 0.348, 0.1003, 0.1915], [0.2644, 0.3511, 0.1155, 0.2705], [0.4392, 0.3739, 0.2036, 0.3526]]"
SSWI000000011771145,SSWI000000011771145B.jpg,"[[0.0653, 0.3526, 0.1125, 0.1884], [0.2812, 0.3511, 0.1429, 0.2766], [0.4742, 0.3769, 0.2188, 0.3587]]"
SSWI000000020365307,SSWI000000020365307B.jpg,[]
SSWI000000020365307,SSWI000000020365307A.jpg,"[[0.4894, 0.7143, 0.1277, 0.0669]]"
SSWI000000020365307,SSWI000000020365307C.jpg,[]
SSWI000000020210468,SSWI000000020210468A.jpg,"[[0.4255, 0.6183, 0.2884, 0.5121], [0.2261, 0.2315, 0.03664, 0.08314]]"
SSWI000000020210468,SSWI000000020210468C.jpg,"[[0.4355, 0.6222, 0.2969, 0.4973], [0.4906, 0.9562, 0.1986, 0.08383], [0.223, 0.2292, 0.04072, 0.08597]]"
SSWI000000020210468,SSWI000000020210468B.jpg,"[[0.4348, 0.6105, 0.296, 0.4786], [0.2249, 0.2313, 0.03642, 0.08142]]"
SSWI000000019828127,SSWI000000019828127A.jpg,"[[0.9422, 0.6079, 0.1155, 0.2614]]"
