event_id,image_group_id,image_url_1,image_url_2,image_url_3,image_url_1_bbox,image_url_2_bbox,image_url_3_bbox,count,species_name,blank_image,bboxes,event_final_topk_conf,load_date
0,2008329,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2008329_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2008329_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2008329_2C.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2008329_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2008329_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2008329_2C.jpeg,0,blank,True,None,"{'blank': 0.99, 'deer': 0.3467103590567907, 'bear': 0.04023071378469467}",12/03/2021
1,2009625,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2009625_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2009625_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2009625_2C.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2009625_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2009625_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2009625_2C.jpeg,0,blank,True,None,"{'blank': 0.99, 'deer': 0.4490374028682709, 'bear': 0.4452412327130636}",12/03/2021
2,2010025,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2010025_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2010025_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2010025_2C.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2010025_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2010025_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2010025_2C.jpeg,0,blank,True,None,"{'blank': 0.99, 'deer': 0.1604582617680232, 'bear': 0.09933162480592728}",12/03/2021
3,2010778,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2010778_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2010778_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2010778_2C.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2010778_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2010778_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2010778_2C.jpeg,0,blank,True,None,"{'blank': 0.99, 'deer': 0.21172963082790375, 'turkey': 0.06790968899925551}",12/03/2021
4,2010824,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2010824_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2010824_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2010824_2C.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2010824_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2010824_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2010824_2C.jpeg,0,blank,True,None,"{'blank': 0.99, 'deer': 0.7441134254137676, 'turkey': 0.03683981175223987}",12/03/2021
5,2010906,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2010906_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2010906_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2010906_2C.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2010906_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2010906_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2010906_2C.jpeg,0,blank,True,None,"{'blank': 0.99, 'deer': 0.21543189883232117, 'bear': 0.18443480134010315}",12/03/2021
6,2011083,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2011083_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2011083_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2011083_2C.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2011083_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2011083_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2011083_2C.jpeg,0,blank,True,None,"{'blank': 0.99, 'bear': 0.12350041419267654, 'deer': 0.11838115751743317}",12/03/2021
7,2011506,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2011506_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2011506_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2011506_2C.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2011506_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2011506_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2011506_2C.jpeg,0,blank,True,None,"{'blank': 0.99, 'deer': 0.49302563071250916, 'bear': 0.17001215368509293}",12/03/2021
8,2011578,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2011578_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2011578_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2011578_2C.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2011578_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2011578_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2011578_2C.jpeg,0,blank,True,None,"{'turkey': 0.31464843719999996, 'deer': 0.04470384990175565, 'foxgray_foxred': 0.010703970522930225}",12/03/2021
9,2011597,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2011597_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2011597_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/2011597_2C.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2011597_0A.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2011597_1B.jpeg,https://wisconsintrails.s3.us-west-2.amazonaws.com/bboximages/2011597_2C.jpeg,0,blank,True,None,"{'blank': 0.99, 'deer': 0.05067845185597738, 'coyote': 0.01462200035651525}",12/03/2021
