image_group_id,blank,consol_dict_model_3,consol_dict_model_4,event_final_topk_conf,species,md_count_max,yolo_count_max,md_bbox,yolo_bbox
2008329,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.6374552845954895, 0.4813052713871002, 0.47731322050094604]}","{'blank': 0.99, 'deer': 0.3467103590567907, 'bear': 0.04023071378469467}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2009625,False,"{'blank': [0.99, 0.99, 0.99]}","{'bear': [0.5342894792556763, 0.3131745755672455], 'deer': [0.538844883441925]}","{'blank': 0.99, 'deer': 0.4490374028682709, 'bear': 0.4452412327130636}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2010025,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.7976852655410767, 0.8234272003173828, 0.5752024054527283]}","{'blank': 0.99, 'deer': 0.1604582617680232, 'bear': 0.09933162480592728}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2010778,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.7071073055267334, 0.5325016379356384, 0.7039712071418762]}","{'blank': 0.99, 'deer': 0.21172963082790375, 'turkey': 0.06790968899925551}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2010824,True,"{'blank': [0.99, 0.99, 0.99]}","{'deer': [0.8357489705085754, 0.892936110496521, 0.8089501857757568]}","{'blank': 0.99, 'deer': 0.7441134254137676, 'turkey': 0.03683981175223987}",deer,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2010906,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.5177664756774902, 0.6715009808540344, 0.43196526169776917]}","{'blank': 0.99, 'deer': 0.21543189883232117, 'bear': 0.18443480134010315}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2011083,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.7110167145729065, 0.5616029500961304, 0.7121379375457764]}","{'blank': 0.99, 'bear': 0.12350041419267654, 'deer': 0.11838115751743317}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2011506,True,"{'blank': [0.99, 0.99, 0.99]}","{'deer': [0.45444226264953613, 0.591630756855011], 'blank': [0.30464938282966614]}","{'blank': 0.99, 'deer': 0.49302563071250916, 'bear': 0.17001215368509293}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2011578,True,"{'blank': [0.99, 0.99], 'turkey': [0.262207031]}","{'blank': [0.9029274582862854, 0.8704988956451416, 0.9033815860748291]}","{'turkey': 0.31464843719999996, 'deer': 0.04470384990175565, 'foxgray_foxred': 0.010703970522930225}",turkey,0,1,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': [['0.8671874536207019,0.9403409175235088,0.2201704123824563,0.11931816495298252']]}"
2011597,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.8939311504364014, 0.9613519310951233, 0.9669963121414185]}","{'blank': 0.99, 'deer': 0.05067845185597738, 'coyote': 0.01462200035651525}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
