Model_Output_ID,model_id,image_group_id,image_id_1,image_id_2,image_id_3,image_id_1_species_name,image_id_2_species_name,image_id_3_species_name,image_id_1_conf,image_id_2_conf,image_id_3_conf,image_id_1_bbox,image_id_2_bbox,image_id_3_bbox,image_id_1_count,image_id_2_count,image_id_3_count,image_id_1_blank,image_id_2_blank,image_id_3_blank,image_id_1_detectable,image_id_2_detectable,image_id_3_detectable,load_date
0,1,2008329,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
1,1,2009625,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
2,1,2010025,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
3,1,2010778,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
4,1,2010824,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
5,1,2010906,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
6,1,2011083,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
7,1,2011506,A,B,C,animal,animal,animal,0.521972656,0.486572266,0.4765625,"0.25071022358346495,0.9588067886677194,0.13139205283307015,0.08096591752350873","0.24644885309561407,0.9595170412382457,0.13920454123824563,0.07954541238245631","0.25812321810736844,0.9588067886677194,0.15278764626175437,0.08096591752350873",1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12/2/21
8,1,2011578,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
9,1,2011597,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
10,1,2012459,A,B,C,,,animal,,,0.303710938,,,"0.5532670412382457,0.8020241224294737,0.23934658247649127,0.15873574485894756",0,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12/2/21
11,1,2012543,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
12,1,2012699,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
13,1,2013275,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
14,1,2013641,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
15,1,2014310,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
16,1,2014755,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
17,1,2015310,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
18,1,2017298,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
19,1,2017384,A,B,C,animal,,animal,0.309814453,,0.581542969,"0.5575283943338597,0.5181107680485966,0.1214488762852631,0.1214488762852631",,"0.380060364047807,0.3281249884051755,0.2782315193338597,0.1470170180485966",1,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12/2/21
20,1,2017524,A,B,C,animal,,animal,0.719726563,,0.698730469,"0.5241477061912282,0.5301846443338597,0.16122158247649127,0.1370738762852631",,"0.523437476810351,0.527698853095614,0.1598011237147369,0.14133520619122816",1,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12/2/21
21,1,2017753,A,B,C,animal,,,0.299316406,,,"0.9644886237147369,0.5873579587617543,0.06960224742947378,0.0703125",,,1,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
22,1,2019284,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
23,1,2019608,A,B,C,animal,,,0.370605469,,,"0.8678976830015791,0.4900567886677194,0.18749995362070193,0.15838066495298253",,,1,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
24,1,2019859,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
25,1,2019882,A,B,C,,"animal,animal",,,"0.265380859375,0.54833984375",,,"0.08706942101017683,0.2434303956191228,0.16463955231350605,0.13955966752350873;0.7299360373824563,0.6164772474294737,0.18785507990596503,0.14488632990596503",,0,2,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,12/2/21
26,1,2020542,A,B,C,animal,,animal,0.378417969,,0.529785156,"0.49680395619122814,0.6740056649529825,0.15127841752350873,0.16761367009403497",,"0.5095880386677194,0.6487925799059651,0.140625,0.17684658247649127",1,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12/2/21
27,1,2021226,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
28,1,2021567,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
29,1,2025800,A,B,C,,,animal,,,0.258056641,,,"0.026633522464783357,0.5912641855721054,0.05282315287999469,0.08451704123824563",0,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12/2/21
30,1,2026381,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
31,1,2027848,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
32,1,2028132,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
33,1,2028474,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
34,1,2029684,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
35,1,2030855,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
36,1,2030902,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
37,1,2031146,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
38,1,2031166,A,B,C,animal,,,0.272949219,,,"0.9438920412382457,0.9680397474294737,0.11221591752350873,0.06392050514105244",,,1,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
39,1,2031408,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
40,1,2032137,A,B,C,,,,,,,,,,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12/2/21
