Model_Output_ID,model_id,image_group_id,image_id_1,image_id_2,image_id_3,image_id_1_species_name,image_id_2_species_name,image_id_3_species_name,image_id_1_conf,image_id_2_conf,image_id_3_conf,image_id_1_bbox,image_id_2_bbox,image_id_3_bbox,image_id_1_count,image_id_2_count,image_id_3_count,image_id_1_blank,image_id_2_blank,image_id_3_blank,image_id_1_detectable,image_id_2_detectable,image_id_3_detectable,load_date
0,1,2008329,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
1,1,2009625,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
2,1,2010025,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
3,1,2010778,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
4,1,2010824,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
5,1,2010906,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
6,1,2011083,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
7,1,2011506,A,B,C,animal,animal,animal,0.52197265625,0.486572265625,0.47705078125,"0.2507102177860527,0.9588067886677194,0.1317471443338597,0.08096591752350873","0.24644885309561407,0.9595170412382457,0.13920454123824563,0.07954541238245631","0.2583451604408334,0.9588067886677194,0.15305396778605268,0.08096591752350873",1,1,1,False,False,False,False,False,False,12/05/2021
8,1,2011578,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
9,1,2011597,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
10,1,2012459,A,B,C,,,animal,,,0.3037109375,,,"0.5532670180485966,0.8020241224294737,0.2400567886677194,0.15873574485894756",0,0,1,True,True,False,False,False,False,12/05/2021
11,1,2012543,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
12,1,2012699,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
13,1,2013275,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
14,1,2013641,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
15,1,2014310,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
16,1,2014755,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
17,1,2015310,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
18,1,2017298,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
19,1,2017384,A,B,C,animal,,animal,0.308837890625,,0.58154296875,"0.5575283943338597,0.5181107680485966,0.1214488762852631,0.1214488762852631",,"0.380060364047807,0.3281249884051755,0.2782315193338597,0.1470170180485966",1,0,1,False,True,False,False,False,False,12/05/2021
20,1,2017524,A,B,C,animal,,animal,0.7197265625,,0.6982421875,"0.5241477061912282,0.5301846443338597,0.16122158247649127,0.1370738762852631",,"0.523437476810351,0.527698853095614,0.1598011237147369,0.14133520619122816",1,0,1,False,True,False,False,False,False,12/05/2021
21,1,2017753,A,B,C,animal,,,0.29931640625,,,"0.9644886237147369,0.5873579587617543,0.06960224742947378,0.0703125",,,1,0,0,False,True,True,False,False,False,12/05/2021
22,1,2019284,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
23,1,2019608,A,B,C,animal,,,0.37060546875,,,"0.8678976830015791,0.4900567886677194,0.18749995362070193,0.15838066495298253",,,1,0,0,False,True,True,False,False,False,12/05/2021
24,1,2019859,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
25,1,2019882,A,B,C,,"animal,animal",,,"0.265380859375,0.54833984375",,,"0.08700283555636652,0.2434303956191228,0.16459516007849512,0.13955966752350873;0.7299360373824563,0.6164772474294737,0.18785507990596503,0.14488632990596503",,0,2,0,True,False,True,False,False,False,12/05/2021
26,1,2020542,A,B,C,animal,,animal,0.37841796875,,0.52978515625,"0.49680395619122814,0.6740056649529825,0.15127841752350873,0.16761367009403497",,"0.5095880386677194,0.6487925799059651,0.140625,0.17684658247649127",1,0,1,False,True,False,False,False,False,12/05/2021
27,1,2021226,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
28,1,2021567,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
29,1,2025800,A,B,C,,,animal,,,0.258056640625,,,"0.026633522464783357,0.5912641855721054,0.05282315287999469,0.08451704123824563",0,0,1,True,True,False,False,False,False,12/05/2021
30,1,2026381,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
31,1,2027848,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
32,1,2028132,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
33,1,2028474,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
34,1,2029684,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
35,1,2030855,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
36,1,2030902,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
37,1,2031146,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
38,1,2031166,A,B,C,animal,,,0.27294921875,,,"0.9438920412382457,0.9680397474294737,0.11221591752350873,0.06392050514105244",,,1,0,0,False,True,True,False,False,False,12/05/2021
39,1,2031408,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
40,1,2032137,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
41,1,2032620,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
42,1,2032882,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
43,1,2033028,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
44,1,2035054,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
45,1,2035148,A,B,C,,animal,,,0.311279296875,,,"0.8032670180485966,0.38849430026254395,0.21022729380877184,0.2521306417633335",,0,1,0,True,False,True,False,False,False,12/05/2021
46,1,2035571,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
47,1,2039377,A,B,C,animal,,,0.332763671875,,,"0.13636363530956142,0.6416903324764912,0.06107954123824563,0.06960224742947378",,,1,0,0,False,True,True,False,False,False,12/05/2021
48,1,2039399,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
49,1,2039423,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
50,1,2039621,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
51,1,2040189,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
52,1,2040970,A,B,C,animal,animal,animal,0.6640625,0.58740234375,0.475341796875,"0.5163352061912282,0.8877840824764912,0.08309658247649127,0.08948867009403495","0.5163352061912282,0.8870738762852631,0.0859375,0.08096591752350873","0.5131391855721054,0.8842329123824563,0.08096587114421068,0.07244316495298252",1,1,1,False,False,False,False,False,False,12/05/2021
53,1,2041655,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
54,1,2042734,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
55,1,2042917,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
56,1,2043970,A,B,C,animal,animal,animal,0.370849609375,0.3271484375,0.66259765625,"0.47265622681035097,0.8572443350470175,0.0894886237147369,0.09375","0.7705965824764912,0.6981533943338597,0.06818183504701748,0.14772729380877184","0.47088066495298253,0.8579544948589476,0.08664775257052622,0.09375",1,1,1,False,False,False,False,False,False,12/05/2021
57,1,2046082,A,B,C,,,animal,,,0.266357421875,,,"0.32874643621473687,0.5774147474294737,0.07830253995298252,0.052556835047017476",0,0,1,True,True,False,False,False,False,12/05/2021
58,1,2046088,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
59,1,2046714,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
60,1,2046820,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
61,1,2047126,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
62,1,2048227,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
63,1,2050269,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
64,1,2050721,A,B,C,,animal,,,0.254150390625,,,"0.6441761237147369,0.5358664793808772,0.09446025257052622,0.0738636237147369",,0,1,0,True,False,True,False,False,False,12/05/2021
65,1,2051431,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
66,1,2952333,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
67,1,2952479,A,B,C,animal,animal,animal,0.495361328125,0.626953125,0.578125,"0.07186611952390352,0.562499976810351,0.14373223904780705,0.21022729380877184","0.0711115030260434,0.551136353095614,0.1393820970435273,0.18110795876175437","0.07157758811324563,0.5294744149529825,0.12460048872649127,0.14346591752350873",1,1,1,False,False,False,False,False,False,12/05/2021
68,1,2952614,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
69,1,2953213,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
70,1,2955029,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
71,1,2966342,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
72,1,2967208,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
73,1,2967414,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
74,1,2967546,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
75,1,2968166,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
76,1,2968227,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
77,1,2968357,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
78,1,2968430,A,B,C,"animal,animal",animal,animal,"0.425048828125,0.400390625",0.44677734375,0.361083984375,"0.3525390509051755,0.8432173105721054,0.10671164561912282,0.31356537885578933;0.3421519780956141,0.9502840824764912,0.09197441495298252,0.09943183504701748","0.34321732216692985,0.9477982912382457,0.09126418557210533,0.10440341752350873","0.34392753995298253,0.9499289561912282,0.08984375,0.10014208761754369",2,1,1,False,False,False,False,False,False,12/05/2021
79,1,2968938,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
80,1,2969908,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
81,1,2969972,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
82,1,2970189,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
83,1,2970384,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
84,1,2970443,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
85,1,2970658,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
86,1,2977702,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
87,1,2978332,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
88,1,2979765,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
89,1,2980742,A,B,C,,animal,"animal,animal",,0.280029296875,"0.359619140625,0.2998046875",,"0.5930397474294737,0.16495027513127197,0.09588066495298252,0.12251419716692985","0.054332386362606996,0.7212357680485966,0.10813210227478601,0.42116479380877186;0.5916192886677194,0.1658380676547807,0.09659091752350873,0.13174715592868422",0,1,2,True,False,False,False,False,False,12/05/2021
90,1,2981055,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
91,1,2981160,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
92,1,2981741,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
93,1,2981777,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
94,1,2982230,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
95,1,2982420,A,B,C,animal,,,0.283203125,,,"0.8899147474294737,0.6768465592868422,0.09517050514105244,0.07954545876175437",,,1,0,0,False,True,True,False,False,False,12/05/2021
96,1,2982605,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
97,1,2986960,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
98,1,2987268,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
99,1,2987470,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
100,1,2987643,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
101,1,2987770,A,B,C,,,animal,,,0.33935546875,,,"0.6828834974294737,0.6477272474294737,0.09588066495298252,0.05894882990596505",0,0,1,True,True,False,False,False,False,12/05/2021
102,1,2987854,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
