;model_output_id;model_id;image_group_id;image_id_1;image_id_1_species_name;image_id_1_conf;image_id_1_count;image_id_1_blank;image_id_1_detectable;image_id_2;image_id_2_species_name;image_id_2_conf;image_id_2_count;image_id_2_blank;image_id_2_detectable;image_id_3;image_id_3_species_name;image_id_3_conf;image_id_3_count;image_id_3_blank;image_id_3_detectable;load_date;image_id_1_bbox;image_id_2_bbox;image_id_3_bbox
0;5001;5;SSWI000000019125218;C;;;0;True;False;A;;;1;False;False;B;;;0;True;False;2021-11-10;;0.8788,0.6067,0.2065,0.1463;
1;5002;5;SSWI000000020163117;C;;;1;False;False;B;;;1;False;False;A;;;1;False;False;2021-11-10;0.4086,0.6829,0.3888,0.2259;0.4259,0.7359,0.4525,0.3259;0.6759,0.741,0.5301,0.3334
2;5003;5;SSWI000000016424935;C;;;0;True;False;A;;;1;False;False;B;;;0;True;False;2021-11-10;;0.5862,0.6926,0.0757,0.07572;
3;5004;5;SSWI000000017050425;B;;;1;False;False;A;;;1;False;False;C;;;1;False;False;2021-11-10;0.562,0.5979,0.1258,0.1996;0.8725,0.6927,0.2487,0.2168;0.3945,0.5594,0.1602,0.1392
4;5005;5;SSWI000000019521970;B;;;1;False;False;C;;;1;False;False;A;;;1;False;False;2021-11-10;0.0906,0.9405,0.1795,0.1123;0.0898,0.9376,0.1776,0.1213;0.3517,0.9074,0.4107,0.1808
5;5006;5;SSWI000000020163266;A;;;2;False;False;C;;;0;True;False;B;;;0;True;False;2021-11-10;"0.9095,0.9301,0.1191,0.1168;0.8383,0.9131,0.2489,0.1517";;
6;5007;5;SSWI000000020297866;B;;;1;False;False;A;;;1;False;False;C;;;1;False;False;2021-11-10;0.7374,0.7423,0.5249,0.5112;0.9454,0.8368,0.109,0.308;0.6565,0.7596,0.6868,0.4753
7;5008;5;SSWI000000019161115;A;;;2;False;False;C;;;0;True;False;B;;;0;True;False;2021-11-10;"0.156,0.8911,0.3019,0.2118;0.4879,0.89,0.9757,0.2021";;
8;5009;5;SSWI000000020366285;C;;;1;False;False;A;;;1;False;False;B;;;3;False;False;2021-11-10;0.4761,0.8437,0.05031,0.06357;0.5642,0.9234,0.1437,0.1229;"0.5919,0.8869,0.08984,0.1009;0.5802,0.888,0.1466,0.1061;0.6159,0.8919,0.1321,0.1077"
9;5010;5;SSWI000000020365789;B;;;1;False;False;A;;;1;False;False;C;;;1;False;False;2021-11-10;0.8691,0.7627,0.2545,0.3899;0.9055,0.7694,0.1889,0.3486;0.8704,0.7664,0.254,0.3876
10;5011;5;SSWI000000020162679;C;;;1;False;False;A;;;2;False;False;B;;;1;False;False;2021-11-10;0.6356,0.8824,0.267,0.2231;"0.6855,0.8842,0.2484,0.2223;0.0157,0.7147,0.02405,0.2032";0.6369,0.8833,0.2746,0.2232
11;5012;5;SSWI000000010977155;A;;;1;False;False;C;;;0;True;False;B;;;0;True;False;2021-11-10;0.6977,0.5991,0.1432,0.05969;;
12;5013;5;SSWI000000015225165;B;;;0;True;False;C;;;0;True;False;A;;;1;False;False;2021-11-10;;;0.3847,0.5413,0.2994,0.1564
13;5014;5;SSWI000000020297698;B;;;1;False;False;C;;;1;False;False;A;;;0;True;False;2021-11-10;0.1406,0.6168,0.2813,0.7479;0.1537,0.4929,0.3002,0.9232;
14;5015;5;SSWI000000018918703;B;;;2;False;False;A;;;1;False;False;C;;;2;False;False;2021-11-10;"0.3659,0.5061,0.1164,0.08618;0.3915,0.5104,0.183,0.1105";0.0714,0.5839,0.1376,0.1428;"0.4375,0.4902,0.1077,0.09684;0.4581,0.4786,0.1489,0.1294"
15;5016;5;SSWI000000013549996;A;;;1;False;False;B;;;1;False;False;C;;;1;False;False;2021-11-10;0.8558,0.7205,0.2855,0.2616;0.4317,0.6485,0.205,0.1656;0.4223,0.6498,0.1556,0.1678
16;5017;5;SSWI000000017432274;C;;;0;True;False;B;;;0;True;False;A;;;1;False;False;2021-11-10;;;0.7188,0.7964,0.2689,0.2294
17;5018;5;SSWI000000017386607;A;;;1;False;False;C;;;1;False;False;B;;;1;False;False;2021-11-10;0.6101,0.5,0.7795,1.0;0.0845,0.4601,0.04873,0.05297;0.0839,0.4599,0.05477,0.0577
18;5019;5;SSWI000000019521942;B;;;1;False;False;C;;;1;False;False;A;;;1;False;False;2021-11-10;0.1535,0.7793,0.0991,0.109;0.1569,0.7914,0.1048,0.09723;0.6667,0.6896,0.1554,0.1093
19;5020;5;SSWI000000020302338;C;;;0;True;False;A;;;0;True;False;B;;;0;True;False;2021-11-10;;;
20;5021;5;SSWI000000016342773;C;;;3;False;False;A;;;1;False;False;B;;;3;False;False;2021-11-10;"0.6923,0.4144,0.1935,0.1416;0.7254,0.4222,0.3058,0.1631;0.7181,0.401,0.1179,0.1057";0.9249,0.4759,0.1457,0.3396;"0.7743,0.4053,0.2266,0.1402;0.7904,0.4245,0.2744,0.1968;0.9293,0.4183,0.1413,0.2071"
21;5022;5;SSWI000000019346775;A;;;4;False;False;C;;;0;True;False;B;;;0;True;False;2021-11-10;"0.2022,0.671,0.1503,0.092;0.1872,0.6752,0.2247,0.1092;0.1933,0.6703,0.09084,0.08341;0.2341,0.6634,0.2231,0.1097";;
22;5023;5;SSWI000000015060925;C;;;1;False;False;B;;;1;False;False;A;;;1;False;False;2021-11-10;0.2229,0.505,0.4376,0.4079;0.3542,0.4893,0.5027,0.4028;0.6095,0.4445,0.5217,0.3609
23;5024;5;SSWI000000019807569;B;;;1;False;False;A;;;1;False;False;C;;;1;False;False;2021-11-10;0.0831,0.6015,0.1651,0.3852;0.0574,0.5899,0.1148,0.3307;0.0926,0.5807,0.1775,0.35
24;5025;5;SSWI000000019658937;A;;;2;False;False;B;;;2;False;False;C;;;2;False;False;2021-11-10;"0.4187,0.6944,0.1883,0.3634;0.0788,0.7636,0.1536,0.4725";"0.0834,0.8036,0.1627,0.3903;0.4046,0.6835,0.158,0.3266";"0.3579,0.6966,0.1882,0.3547;0.0941,0.806,0.1848,0.3835"
25;5026;5;SSWI000000018720931;B;;;0;True;False;A;;;1;False;False;C;;;0;True;False;2021-11-10;;0.2744,0.7991,0.5447,0.3923;
26;5027;5;SSWI000000019326950;B;;;1;False;False;A;;;1;False;False;C;;;1;False;False;2021-11-10;0.6904,0.9358,0.2011,0.123;0.4791,0.9316,0.1963,0.1333;0.7692,0.9467,0.2276,0.1012
27;5028;5;SSWI000000021013081;B;;;0;True;False;C;;;1;False;False;A;;;0;True;False;2021-11-10;;0.4395,0.5984,0.1534,0.08241;
28;5029;5;SSWI000000007972320;C;;;2;False;False;A;;;2;False;False;B;;;2;False;False;2021-11-10;"0.5249,0.6654,0.3597,0.4395;0.1284,0.4948,0.2468,0.9807";"0.2733,0.7588,0.2554,0.272;0.1058,0.488,0.2079,0.9638";"0.5083,0.6616,0.355,0.4526;0.1192,0.4934,0.2371,0.9826"
29;5030;5;SSWI000000019326586;C;;;1;False;False;A;;;1;False;False;B;;;1;False;False;2021-11-10;0.0753,0.8179,0.1466,0.1358;0.372,0.9012,0.2469,0.1844;0.1001,0.8389,0.1941,0.1709
30;5031;5;SSWI000000006823389;A;;;1;False;False;C;;;3;False;False;B;;;1;False;False;2021-11-10;0.4801,0.8876,0.07534,0.1242;"0.4652,0.7985,0.05612,0.08826;0.8659,0.7293,0.2262,0.1669;0.8169,0.7073,0.2158,0.1436";0.4702,0.8194,0.0565,0.09824
