Model_Output_ID,model_id,image_group_id,image_id_1,image_id_2,image_id_3,image_id_1_species_name,image_id_2_species_name,image_id_3_species_name,image_id_1_conf,image_id_2_conf,image_id_3_conf,image_id_1_count,image_id_2_count,image_id_3_count,image_id_1_bbox,image_id_2_bbox,image_id_3_bbox,image_id_1_blank,image_id_2_blank,image_id_3_blank,image_id_1_detectable,image_id_2_detectable,image_id_3_detectable,load_date
0,2,2008329,A,B,C,blank,blank,blank,0.9870110750198364,0.9590360522270203,0.9834611415863037,0,0,0,,,,True,True,True,False,False,False,12/05/2021
1,2,2009625,A,B,C,animal,animal,animal,0.9721313714981079,0.9863938689231873,0.9832478165626526,0,0,0,,,,False,False,False,False,False,False,12/05/2021
2,2,2010025,A,B,C,blank,blank,blank,0.9983174800872803,0.9915269017219543,0.996371865272522,0,0,0,,,,True,True,True,False,False,False,12/05/2021
3,2,2010778,A,B,C,blank,blank,blank,0.9938223361968994,0.9642020463943481,0.9773263335227966,0,0,0,,,,True,True,True,False,False,False,12/05/2021
4,2,2010824,A,B,C,blank,animal,blank,0.9365166425704956,0.5628939270973206,0.5238783359527588,0,0,0,,,,True,False,True,False,False,False,12/05/2021
5,2,2010906,A,B,C,blank,blank,blank,0.995144784450531,0.996469259262085,0.9978317618370056,0,0,0,,,,True,True,True,False,False,False,12/05/2021
6,2,2011083,A,B,C,blank,blank,blank,0.9997710585594177,0.9991664886474609,0.9997709393501282,0,0,0,,,,True,True,True,False,False,False,12/05/2021
7,2,2011506,A,B,C,blank,blank,blank,0.8652563691139221,0.9153251647949219,0.8969724178314209,0,0,0,,,,True,True,True,False,False,False,12/05/2021
8,2,2011578,A,B,C,blank,blank,blank,0.9996795654296875,0.9993205070495605,0.9987092018127441,0,0,0,,,,True,True,True,False,False,False,12/05/2021
9,2,2011597,A,B,C,blank,blank,blank,0.9991390705108643,0.9996910095214844,0.9990594983100891,0,0,0,,,,True,True,True,False,False,False,12/05/2021
10,2,2012459,A,B,C,blank,blank,blank,0.9968164563179016,0.9746310114860535,0.9693004488945007,0,0,0,,,,True,True,True,False,False,False,12/05/2021
11,2,2012543,A,B,C,blank,blank,blank,0.5322138071060181,0.7699922323226929,0.644075870513916,0,0,0,,,,True,True,True,False,False,False,12/05/2021
12,2,2012699,A,B,C,blank,blank,blank,0.6956290602684021,0.990225613117218,0.9951554536819458,0,0,0,,,,True,True,True,False,False,False,12/05/2021
13,2,2013275,A,B,C,blank,blank,blank,0.6935997009277344,0.6101916432380676,0.6898695826530457,0,0,0,,,,True,True,True,False,False,False,12/05/2021
14,2,2013641,A,B,C,blank,animal,animal,0.5463778376579285,0.5849536657333374,0.5548204779624939,0,0,0,,,,True,False,False,False,False,False,12/05/2021
15,2,2014310,A,B,C,blank,blank,blank,0.9937088489532471,0.9984524250030518,0.992356538772583,0,0,0,,,,True,True,True,False,False,False,12/05/2021
16,2,2014755,A,B,C,blank,blank,blank,0.962253987789154,0.9624989032745361,0.9619856476783752,0,0,0,,,,True,True,True,False,False,False,12/05/2021
17,2,2015310,A,B,C,blank,blank,blank,0.9973933696746826,0.9992455244064331,0.997523844242096,0,0,0,,,,True,True,True,False,False,False,12/05/2021
18,2,2017298,A,B,C,blank,blank,blank,0.9959473013877869,0.9946621060371399,0.989380955696106,0,0,0,,,,True,True,True,False,False,False,12/05/2021
19,2,2017384,A,B,C,blank,blank,blank,0.9360523223876953,0.9076465964317322,0.9031198620796204,0,0,0,,,,True,True,True,False,False,False,12/05/2021
20,2,2017524,A,B,C,blank,animal,animal,0.6945272088050842,0.6351462006568909,0.6038814783096313,0,0,0,,,,True,False,False,False,False,False,12/05/2021
21,2,2017753,A,B,C,blank,blank,blank,0.7826797366142273,0.7122441530227661,0.8129876255989075,0,0,0,,,,True,True,True,False,False,False,12/05/2021
22,2,2019284,A,B,C,blank,blank,blank,0.7848184108734131,0.590079665184021,0.8483981490135193,0,0,0,,,,True,True,True,False,False,False,12/05/2021
23,2,2019608,A,B,C,blank,blank,blank,0.8599944710731506,0.981637179851532,0.8985910415649414,0,0,0,,,,True,True,True,False,False,False,12/05/2021
24,2,2019859,A,B,C,blank,blank,blank,0.9994032382965088,0.9995691180229187,0.9997420907020569,0,0,0,,,,True,True,True,False,False,False,12/05/2021
25,2,2019882,A,B,C,blank,blank,blank,0.9987533092498779,0.9995038509368896,0.9990100860595703,0,0,0,,,,True,True,True,False,False,False,12/05/2021
26,2,2020542,A,B,C,blank,blank,blank,0.7524467706680298,0.7527207732200623,0.6950039863586426,0,0,0,,,,True,True,True,False,False,False,12/05/2021
27,2,2021226,A,B,C,blank,blank,blank,0.9618331789970398,0.9553065299987793,0.9063836932182312,0,0,0,,,,True,True,True,False,False,False,12/05/2021
28,2,2021567,A,B,C,animal,animal,blank,0.5589863657951355,0.520465612411499,0.5826326608657837,0,0,0,,,,False,False,True,False,False,False,12/05/2021
29,2,2025800,A,B,C,blank,blank,blank,0.8763333559036255,0.8464846014976501,0.8882723450660706,0,0,0,,,,True,True,True,False,False,False,12/05/2021
30,2,2026381,A,B,C,blank,blank,blank,0.7478039264678955,0.9077669382095337,0.8790920972824097,0,0,0,,,,True,True,True,False,False,False,12/05/2021
31,2,2027848,A,B,C,blank,blank,blank,0.999974250793457,0.9999866485595703,0.9999088048934937,0,0,0,,,,True,True,True,False,False,False,12/05/2021
32,2,2028132,A,B,C,blank,blank,blank,0.9999465942382812,0.9999380111694336,0.9998747110366821,0,0,0,,,,True,True,True,False,False,False,12/05/2021
33,2,2028474,A,B,C,blank,blank,blank,0.9884116053581238,0.9731326699256897,0.9848795533180237,0,0,0,,,,True,True,True,False,False,False,12/05/2021
34,2,2029684,A,B,C,blank,blank,blank,0.7722765803337097,0.8263831734657288,0.7346983551979065,0,0,0,,,,True,True,True,False,False,False,12/05/2021
35,2,2030855,A,B,C,blank,blank,blank,0.995182454586029,0.9942536950111389,0.9795350432395935,0,0,0,,,,True,True,True,False,False,False,12/05/2021
36,2,2030902,A,B,C,animal,animal,animal,0.7960929274559021,0.765918493270874,0.8169540762901306,0,0,0,,,,False,False,False,False,False,False,12/05/2021
37,2,2031146,A,B,C,blank,blank,blank,0.6301993131637573,0.7507616281509399,0.7852705121040344,0,0,0,,,,True,True,True,False,False,False,12/05/2021
38,2,2031166,A,B,C,blank,blank,blank,0.9985271692276001,0.9989625215530396,0.9981176853179932,0,0,0,,,,True,True,True,False,False,False,12/05/2021
39,2,2031408,A,B,C,blank,blank,blank,0.9272621870040894,0.9373482465744019,0.9598399996757507,0,0,0,,,,True,True,True,False,False,False,12/05/2021
40,2,2032137,A,B,C,blank,blank,blank,0.9564564228057861,0.9754222631454468,0.9845871925354004,0,0,0,,,,True,True,True,False,False,False,12/05/2021
41,2,2032620,A,B,C,blank,blank,blank,0.9390044808387756,0.9672480821609497,0.9440140724182129,0,0,0,,,,True,True,True,False,False,False,12/05/2021
42,2,2032882,A,B,C,animal,animal,animal,0.7501419186592102,0.7231016159057617,0.7101454138755798,0,0,0,,,,False,False,False,False,False,False,12/05/2021
43,2,2033028,A,B,C,blank,blank,blank,0.9810752272605896,0.9870055913925171,0.9615417122840881,0,0,0,,,,True,True,True,False,False,False,12/05/2021
44,2,2035054,A,B,C,blank,blank,blank,0.9836990833282471,0.997166097164154,0.9939793348312378,0,0,0,,,,True,True,True,False,False,False,12/05/2021
45,2,2035148,A,B,C,blank,blank,blank,0.984176516532898,0.992260754108429,0.9955601692199707,0,0,0,,,,True,True,True,False,False,False,12/05/2021
46,2,2035571,A,B,C,blank,blank,blank,0.9895904660224915,0.9942586421966553,0.9788631796836853,0,0,0,,,,True,True,True,False,False,False,12/05/2021
47,2,2039377,A,B,C,blank,blank,blank,0.9031107425689697,0.9610866904258728,0.9563910365104675,0,0,0,,,,True,True,True,False,False,False,12/05/2021
48,2,2039399,A,B,C,blank,blank,blank,0.9998531341552734,0.9998553991317749,0.997979462146759,0,0,0,,,,True,True,True,False,False,False,12/05/2021
49,2,2039423,A,B,C,blank,blank,blank,0.9979472756385803,0.9969756603240967,0.998325765132904,0,0,0,,,,True,True,True,False,False,False,12/05/2021
50,2,2039621,A,B,C,blank,blank,blank,0.9947485327720642,0.9969134330749512,0.9878014922142029,0,0,0,,,,True,True,True,False,False,False,12/05/2021
51,2,2040189,A,B,C,blank,blank,blank,0.9986554384231567,0.9957345128059387,0.9944664835929871,0,0,0,,,,True,True,True,False,False,False,12/05/2021
52,2,2040970,A,B,C,blank,blank,animal,0.6775718331336975,0.5977429747581482,0.9150745272636414,0,0,0,,,,True,True,False,False,False,False,12/05/2021
53,2,2041655,A,B,C,blank,blank,blank,0.8756905794143677,0.6626421213150024,0.8743528127670288,0,0,0,,,,True,True,True,False,False,False,12/05/2021
54,2,2042734,A,B,C,blank,blank,blank,0.9550013542175293,0.9167262315750122,0.981670618057251,0,0,0,,,,True,True,True,False,False,False,12/05/2021
55,2,2042917,A,B,C,blank,blank,blank,0.9843142032623291,0.976952075958252,0.9888650178909302,0,0,0,,,,True,True,True,False,False,False,12/05/2021
56,2,2043970,A,B,C,animal,animal,animal,0.5000329613685608,0.668549120426178,0.8914363980293274,0,0,0,,,,False,False,False,False,False,False,12/05/2021
57,2,2046082,A,B,C,blank,blank,blank,0.9493040442466736,0.9608829617500305,0.8302914500236511,0,0,0,,,,True,True,True,False,False,False,12/05/2021
58,2,2046088,A,B,C,blank,blank,blank,0.9428808093070984,0.8494945764541626,0.9831861257553101,0,0,0,,,,True,True,True,False,False,False,12/05/2021
59,2,2046714,A,B,C,animal,blank,blank,0.7868144512176514,0.7225459814071655,0.7599522471427917,0,0,0,,,,False,True,True,False,False,False,12/05/2021
60,2,2046820,A,B,C,blank,blank,blank,0.9929910898208618,0.9802879095077515,0.9835082292556763,0,0,0,,,,True,True,True,False,False,False,12/05/2021
61,2,2047126,A,B,C,blank,blank,blank,0.9995276927947998,0.997765064239502,0.9984750151634216,0,0,0,,,,True,True,True,False,False,False,12/05/2021
62,2,2048227,A,B,C,blank,blank,blank,0.7721614241600037,0.8539679050445557,0.9321458339691162,0,0,0,,,,True,True,True,False,False,False,12/05/2021
63,2,2050269,A,B,C,blank,blank,blank,0.9991389513015747,0.9998319149017334,0.9977805018424988,0,0,0,,,,True,True,True,False,False,False,12/05/2021
64,2,2050721,A,B,C,animal,animal,animal,0.6944013237953186,0.5562008023262024,0.6708602905273438,0,0,0,,,,False,False,False,False,False,False,12/05/2021
65,2,2051431,A,B,C,blank,blank,blank,0.997804582118988,0.9988364577293396,0.9986415505409241,0,0,0,,,,True,True,True,False,False,False,12/05/2021
66,2,2952333,A,B,C,blank,blank,blank,0.5998395681381226,0.7401792407035828,0.6543511748313904,0,0,0,,,,True,True,True,False,False,False,12/05/2021
67,2,2952479,A,B,C,blank,blank,blank,0.9011601805686951,0.9328946471214294,0.8392205834388733,0,0,0,,,,True,True,True,False,False,False,12/05/2021
68,2,2952614,A,B,C,blank,blank,blank,0.9631430506706238,0.9777096509933472,0.9679635167121887,0,0,0,,,,True,True,True,False,False,False,12/05/2021
69,2,2953213,A,B,C,blank,blank,blank,0.996802806854248,0.9942495822906494,0.9961866736412048,0,0,0,,,,True,True,True,False,False,False,12/05/2021
70,2,2955029,A,B,C,blank,blank,blank,0.9998842477798462,0.9995120763778687,0.9998331069946289,0,0,0,,,,True,True,True,False,False,False,12/05/2021
71,2,2966342,A,B,C,blank,blank,blank,0.9997844099998474,0.9999681711196899,0.9999010562896729,0,0,0,,,,True,True,True,False,False,False,12/05/2021
72,2,2967208,A,B,C,blank,blank,blank,0.9729859232902527,0.9743170738220215,0.9722447991371155,0,0,0,,,,True,True,True,False,False,False,12/05/2021
73,2,2967414,A,B,C,blank,blank,blank,0.9993484616279602,0.9996395111083984,0.998670220375061,0,0,0,,,,True,True,True,False,False,False,12/05/2021
74,2,2967546,A,B,C,blank,blank,blank,0.9469974040985107,0.9816538095474243,0.9744433760643005,0,0,0,,,,True,True,True,False,False,False,12/05/2021
75,2,2968166,A,B,C,blank,blank,blank,0.9997588992118835,0.999710738658905,0.9997691512107849,0,0,0,,,,True,True,True,False,False,False,12/05/2021
76,2,2968227,A,B,C,blank,blank,blank,0.9995660185813904,0.9999194145202637,0.9998106360435486,0,0,0,,,,True,True,True,False,False,False,12/05/2021
