CLASS_SPECIES,CLASS_KEY,KEY_COUNT,KEY_TEXT,TRIGGER_ID,CAMERA_SEQ_NO,TRIGGER_DATETIME
Fisher,FISHER_AMT,1,NA,SSWI000000004653395,34742,20-Mar-17
Mink,MINK_AMT,1,NA,SSWI000000023265380,84086,10-Sep-21
"Fox, Gray",FOXGRAY_AMT,1,NA,SSWI000000018519329,45423,8-Aug-20
Deer,DEER_ADULT_ANTLERED_AMT,1,NA,SSWI000000019124702,46145,12-Jul-20
Wolf,WOLF_AMT,1,NA,SSWI000000011431787,54977,6-Dec-18
Wolf,WOLF_AMT,1,NA,SSWI000000020288117,65742,9-Dec-20
Fisher,FISHER_AMT,1,NA,SSWI000000020093532,55640,7-Nov-20
Otter,OTTER_AMT,1,NA,SSWI000000017301693,72077,3-May-20
Wolf,WOLF_AMT,1,NA,SSWI000000021385286,81377,6-Apr-21
Elk,ELK_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000005446507,28204,12-May-17
Mink,MINK_AMT,1,NA,SSWI000000020411836,33101,25-Nov-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000020509624,83311,3-Dec-20
Elk,ELK_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000007439904,28204,4-Dec-17
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000017905699,65716,3-Jul-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000020067878,49226,27-Nov-20
Fisher,FISHER_AMT,1,NA,SSWI000000016600671,55079,5-Mar-20
Wolf,WOLF_AMT,1,NA,SSWI000000018395195,60117,4-Jul-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000018943986,81370,3-Sep-20
Cottontail,COTTONTAIL_AMT,1,NA,SSWI000000019819402,32184,14-Sep-20
Raccoon,RACCOON_AMT,1,NA,SSWI000000022630156,63787,20-Jul-21
